	V_gene	mutability
155	IGHV4-59 n=175	0.0
156	IGHV4-59 n=175	0.06
157	IGHV4-59 n=175	0.01
158	IGHV4-59 n=175	0.0
159	IGHV4-59 n=175	0.06
160	IGHV4-59 n=175	0.0
161	IGHV4-59 n=175	0.06
162	IGHV4-59 n=175	0.0
163	IGHV4-59 n=175	0.0
164	IGHV4-59 n=175	0.02
165	IGHV4-59 n=175	0.01
166	IGHV4-59 n=175	0.06
167	IGHV4-59 n=175	0.06
168	IGHV4-59 n=175	0.06
169	IGHV4-59 n=175	0.06
170	IGHV4-59 n=175	0.06
171	IGHV4-59 n=175	0.01
172	IGHV4-59 n=175	0.03
173	IGHV4-59 n=175	0.01
174	IGHV4-59 n=175	0.06
175	IGHV4-34 n=61	0.03
176	IGHV4-34 n=61	0.05
177	IGHV4-34 n=61	0.01
178	IGHV4-34 n=61	0.0
179	IGHV4-34 n=61	0.01
180	IGHV4-34 n=61	0.01
181	IGHV4-34 n=61	0.0
182	IGHV4-34 n=61	0.01
183	IGHV4-34 n=61	0.04
184	IGHV4-34 n=61	0.0
185	IGHV4-34 n=61	0.02
186	IGHV4-34 n=61	0.01
187	IGHV4-34 n=61	0.0
188	IGHV4-34 n=61	0.0
189	IGHV4-34 n=61	0.03
190	IGHV4-34 n=61	0.0
191	IGHV4-34 n=61	0.01
192	IGHV4-34 n=61	0.01
193	IGHV4-34 n=61	0.0
194	IGHV4-34 n=61	0.0
195	IGHV4-34 n=61	0.0
196	IGHV4-34 n=61	0.0
197	IGHV4-34 n=61	0.0
198	IGHV4-34 n=61	0.0
199	IGHV4-34 n=61	0.01
200	IGHV4-34 n=61	0.0
201	IGHV4-34 n=61	0.01
202	IGHV4-34 n=61	0.0
203	IGHV4-34 n=61	0.01
204	IGHV4-34 n=61	0.01
205	IGHV4-34 n=61	0.0
206	IGHV4-34 n=61	0.0
207	IGHV4-34 n=61	0.02
208	IGHV4-34 n=61	0.03
209	IGHV4-34 n=61	0.01
210	IGHV4-34 n=61	0.0
211	IGHV4-34 n=61	0.0
212	IGHV4-34 n=61	0.0
213	IGHV4-34 n=61	0.0
214	IGHV4-34 n=61	0.0
215	IGHV4-34 n=61	0.0
216	IGHV4-34 n=61	0.04
217	IGHV4-34 n=61	0.0
218	IGHV4-34 n=61	0.0
219	IGHV4-34 n=61	0.0
220	IGHV4-34 n=61	0.01
221	IGHV4-34 n=61	0.0
