	Haplotype 2-4	Haplotype 2	Haplotype 2-6	Haplotype 4	Haplotype 4-6	Haplotype 6
Haplotype 2	0.2624716174580812	-	0.9461275025566648	2.1452088862288644e-10	0.12266063987379809	0.38486180480820387
Haplotype 2-4	-	0.2624716174580812	0.4161316700901836	2.829361439989886e-09	0.4755829286991522	0.6899600804565442
Haplotype 2-6	0.4161316700901836	0.9461275025566648	-	1.8680666959607151e-07	0.26256894732534597	0.47368679718238255
Haplotype 4	2.829361439989886e-09	2.1452088862288644e-10	1.8680666959607151e-07	-	6.579080938821483e-06	0.0039040558563635374
Haplotype 4-6	0.4755829286991522	0.12266063987379809	0.26256894732534597	6.579080938821483e-06	-	0.9507894686164409
Haplotype 6	0.6899600804565442	0.38486180480820387	0.47368679718238255	0.0039040558563635374	0.9507894686164409	-
